FL Round,Convergence Time (s),Aggregation Time (s),Accuracy,Loss,TP,TN,FP,FN
1,83.56,,0.905351996421814,1.1397399394313805e+29,66077.0,373303.0,8988.0,36946.0
1,84.28,,0.9116777777671814,9.094620492592521e+28,69008.0,373442.0,9460.0,33404.0
1,85.88,,0.8845778107643127,2.8169696205260404e+29,54640.0,374658.0,7730.0,48286.0
1,78.83,,0.8886205554008484,2.4289807458721076e+29,56298.0,374962.0,7890.0,46164.0
1,84.66,,0.8742886185646057,4.16922285189429e+29,49035.0,375273.0,7371.0,53639.0
