FL round,Epoch,Client 1 Epoch Time (seconds),Client 1 Training Loss,Client 1 Training Accuracy,Client 1 True Positives,Client 1 True Negatives,Client 1 False Positives,Client 1 False Negatives,Client 2 Epoch Time (seconds),Client 2 Training Loss,Client 2 Training Accuracy,Client 2 True Positives,Client 2 True Negatives,Client 2 False Positives,Client 2 False Negatives,Client 3 Epoch Time (seconds),Client 3 Training Loss,Client 3 Training Accuracy,Client 3 True Positives,Client 3 True Negatives,Client 3 False Positives,Client 3 False Negatives,Client 4 Epoch Time (seconds),Client 4 Training Loss,Client 4 Training Accuracy,Client 4 True Positives,Client 4 True Negatives,Client 4 False Positives,Client 4 False Negatives,Client 5 Epoch Time (seconds),Client 5 Training Loss,Client 5 Training Accuracy,Client 5 True Positives,Client 5 True Negatives,Client 5 False Positives,Client 5 False Negatives,FL Round Time (seconds)
1,1,10.534088134765625,5.361201727418337e+27,0.989130973815918,341.0,38063.0,155.0,267.0,11.900348901748657,7.766015503084202e+27,0.9915520548820496,285.0,38213.0,69.0,259.0,13.814560890197754,2.364637409234125e+16,0.9867357015609741,316.0,37995.0,270.0,245.0,14.701733112335205,7.82913243988495e+26,0.985962986946106,357.0,37924.0,329.0,216.0,15.636420011520386,6.072655848608702e+20,0.990444540977478,287.0,38168.0,114.0,257.0,
1,2,16.755938053131104,2.55344069792206e+28,0.9905475974082947,325.0,38134.0,106.0,261.0,15.325981855392456,5.119131808601135e+22,0.9887704253196716,317.0,38073.0,170.0,266.0,14.66346287727356,4.5188127125483165e+27,0.9898521900177002,299.0,38133.0,131.0,263.0,13.861972093582153,8.543634015014709e+27,0.9893885254859924,316.0,38098.0,175.0,237.0,13.90791392326355,2.1365603379022658e+28,0.9906763434410095,304.0,38160.0,122.0,240.0,
1,3,13.674108028411865,5.65264729727512e+27,0.9897748827934265,338.0,38091.0,128.0,269.0,12.961278915405273,8.927402224743428e+21,0.9911914467811584,359.0,38125.0,95.0,247.0,13.40567135810852,1.0854267274729464e+28,0.9893627762794495,320.0,38093.0,157.0,256.0,12.11925196647644,2.052481406579871e+26,0.9913202524185181,312.0,38177.0,99.0,238.0,9.608273267745972,8.631095046182554e+26,0.985010027885437,308.0,37936.0,346.0,236.0,
1,4,8.60810923576355,9.294830886473559e+27,0.9893112778663635,326.0,38085.0,195.0,220.0,8.134665966033936,2.913158818672472e+27,0.9901612401008606,338.0,38106.0,134.0,248.0,7.585738897323608,2.094060552189453e+26,0.9888734221458435,312.0,38082.0,191.0,241.0,7.454571962356567,5.962551535296274e+22,0.9882810711860657,316.0,38055.0,230.0,225.0,7.552832126617432,2.0629700776862296e+27,0.990032434463501,329.0,38110.0,159.0,228.0,
1,5,7.454724073410034,9.79303848438097e+26,0.9904187917709351,343.0,38111.0,129.0,243.0,7.464806079864502,4.975404455825439e+27,0.9885643720626831,311.0,38071.0,211.0,233.0,7.466139078140259,3.6339664288282695e+23,0.9878432154655457,362.0,37992.0,235.0,237.0,7.40596604347229,3.1697400703712494e+19,0.9887961745262146,345.0,38046.0,188.0,247.0,7.375951290130615,3.5046548249291596e+24,0.9878689646720886,321.0,38034.0,227.0,244.0,
1,6,7.449349880218506,2.3328955283326705e+26,0.9890022277832031,313.0,38086.0,181.0,246.0,7.350503921508789,2.933218792773189e+24,0.989980936050415,336.0,38101.0,133.0,256.0,7.208134174346924,1.0811964315775917e+28,0.990933895111084,313.0,38161.0,114.0,238.0,6.65401291847229,4.31583005342351e+27,0.9894143342971802,323.0,38092.0,150.0,261.0,6.3643410205841064,6.649086473857238e+25,0.9785195589065552,335.0,37657.0,585.0,249.0,
1,7,6.252213001251221,4.784452320463648e+27,0.990058183670044,351.0,38089.0,172.0,214.0,6.11929988861084,3.289017870002171e+27,0.9896461367607117,326.0,38098.0,146.0,256.0,6.03470516204834,7.41277776779907e+27,0.990933895111084,313.0,38161.0,108.0,244.0,5.948467969894409,1.4948525958812066e+28,0.9882810711860657,301.0,38070.0,207.0,248.0,5.95476508140564,3.755111073672408e+28,0.9914490580558777,303.0,38191.0,86.0,246.0,
1,8,5.928667306900024,3.118373386256245e+27,0.9865553975105286,365.0,37939.0,273.0,249.0,6.103656768798828,3.888130665419626e+20,0.9909853935241699,306.0,38170.0,112.0,238.0,6.329819917678833,2.2179588249032327e+19,0.9908051490783691,332.0,38137.0,152.0,205.0,6.376644134521484,1.104312284521431e+17,0.9856281876564026,364.0,37904.0,350.0,208.0,6.3206400871276855,2.762497692781596e+26,0.987714409828186,333.0,38016.0,261.0,216.0,
1,9,6.816100120544434,6.116797719374305e+28,0.9914232492446899,301.0,38192.0,93.0,240.0,6.3696129322052,1.6449826381655262e+25,0.9908308982849121,301.0,38169.0,111.0,245.0,6.456915855407715,5.264982329738247e+27,0.9901097416877747,288.0,38154.0,133.0,251.0,6.3336122035980225,2.3035567935401747e+27,0.991346001625061,298.0,38192.0,97.0,239.0,6.1893839836120605,4.990470452430623e+23,0.9917323589324951,283.0,38222.0,67.0,254.0,
1,10,6.169887065887451,6.860764937361764e+24,0.9875598549842834,335.0,38008.0,262.0,221.0,6.2567150592803955,3.2283499819742307e+28,0.9910369515419006,329.0,38149.0,84.0,264.0,6.153216123580933,7.074409218500757e+23,0.9888476729393005,322.0,38071.0,191.0,242.0,6.143418073654175,8.778604804102854e+26,0.9838767647743225,357.0,37843.0,421.0,205.0,6.149937152862549,3.390958433123001e+25,0.990496039390564,332.0,38125.0,108.0,261.0,
