FL round,Epoch,Client 1 Epoch Time (seconds),Client 1 Training Loss,Client 1 Training Accuracy,Client 1 True Positives,Client 1 True Negatives,Client 1 False Positives,Client 1 False Negatives,Client 2 Epoch Time (seconds),Client 2 Training Loss,Client 2 Training Accuracy,Client 2 True Positives,Client 2 True Negatives,Client 2 False Positives,Client 2 False Negatives,Client 3 Epoch Time (seconds),Client 3 Training Loss,Client 3 Training Accuracy,Client 3 True Positives,Client 3 True Negatives,Client 3 False Positives,Client 3 False Negatives,Client 4 Epoch Time (seconds),Client 4 Training Loss,Client 4 Training Accuracy,Client 4 True Positives,Client 4 True Negatives,Client 4 False Positives,Client 4 False Negatives,Client 5 Epoch Time (seconds),Client 5 Training Loss,Client 5 Training Accuracy,Client 5 True Positives,Client 5 True Negatives,Client 5 False Positives,Client 5 False Negatives,FL Round Time (seconds)
1,1,5.024681806564331,3.0677533300206076e+19,0.9919384121894836,298.0,38215.0,109.0,204.0,4.674162864685059,6.504321562806583e+19,0.9911914467811584,324.0,38160.0,85.0,257.0,4.64962100982666,6.788377469422938e+26,0.990444540977478,304.0,38151.0,124.0,247.0,4.624314308166504,4.013409581039354e+18,0.9871220588684082,303.0,38023.0,272.0,228.0,4.610713005065918,2.280597919372882e+24,0.9844949245452881,342.0,37882.0,364.0,238.0,
1,2,4.623731851577759,1.0396854134832227e+28,0.99229896068573,291.0,38236.0,47.0,252.0,4.651089906692505,8.226652248401808e+27,0.9889249205589294,308.0,38088.0,191.0,239.0,4.641678094863892,8.25932895842793e+26,0.987250804901123,333.0,37998.0,245.0,250.0,4.66573691368103,7.378222625823923e+24,0.9869932532310486,327.0,37994.0,243.0,262.0,4.682214736938477,1.1132866753662475e+23,0.9906505942344666,311.0,38152.0,110.0,253.0,
1,3,4.650428295135498,6.111531380544794e+26,0.982254147529602,331.0,37806.0,453.0,236.0,4.650804042816162,1.3563980885157478e+17,0.9894658327102661,355.0,38062.0,144.0,265.0,4.663670063018799,3.4361759591934495e+27,0.9865296483039856,352.0,37951.0,304.0,219.0,4.63753867149353,6.052425134840553e+27,0.990882396697998,341.0,38131.0,126.0,228.0,4.659508943557739,2.866183668379937e+27,0.9843919277191162,337.0,37883.0,379.0,227.0,
1,4,4.617340803146362,8.524178755160687e+24,0.9902127385139465,305.0,38141.0,153.0,227.0,4.8741230964660645,3.265723026437985e+27,0.9898006319999695,279.0,38151.0,148.0,248.0,4.644861221313477,1.0835648459427034e+27,0.9875856637954712,337.0,38007.0,247.0,235.0,4.71636700630188,1.1392936403810007e+27,0.9879977107048035,333.0,38027.0,221.0,245.0,4.655724048614502,2.059999561594552e+27,0.9903157949447632,313.0,38137.0,141.0,235.0,
1,5,4.588129043579102,2.488203093907809e+28,0.99186110496521,301.0,38209.0,94.0,222.0,4.719528913497925,1.6402358426594798e+28,0.991371750831604,309.0,38182.0,95.0,240.0,4.698862075805664,1.8842428800125958e+28,0.9910112023353577,307.0,38170.0,111.0,238.0,4.662461042404175,8.452344767942735e+27,0.9910884499549866,306.0,38174.0,95.0,251.0,4.636979818344116,3.4596219991895923e+22,0.9915263056755066,310.0,38187.0,83.0,246.0,
1,6,4.670974016189575,4.990686826974e+25,0.9867871999740601,343.0,37970.0,271.0,242.0,4.659008026123047,2.5891911962918814e+27,0.989543080329895,303.0,38117.0,146.0,260.0,4.914260149002075,2.789927943573127e+24,0.9866584539413452,322.0,37986.0,266.0,252.0,4.661413908004761,1.087668287268412e+27,0.9857311844825745,306.0,37966.0,308.0,246.0,4.681787967681885,2.1162362170332914e+28,0.9892855286598206,305.0,38105.0,170.0,246.0,
1,7,4.697723865509033,1.51016250801867e+28,0.990006685256958,331.0,38107.0,134.0,254.0,5.08080267906189,2.0970422470080393e+27,0.9841858744621277,340.0,37872.0,393.0,221.0,4.907641172409058,2.809397617251799e+25,0.9881265163421631,309.0,38056.0,240.0,221.0,4.708038091659546,1.7125523699546216e+26,0.9896203279495239,339.0,38084.0,140.0,263.0,4.640682935714722,2.0626868198605273e+23,0.987302303314209,350.0,37983.0,279.0,214.0,
1,8,4.7015769481658936,3.2350866738803684e+26,0.9911914467811584,325.0,38159.0,114.0,228.0,4.66010594367981,1.8069841674535044e+27,0.9916550517082214,276.0,38226.0,112.0,212.0,4.656980037689209,2.0973184169029156e+28,0.9907535910606384,337.0,38130.0,116.0,243.0,4.675920248031616,2.0339731241679315e+27,0.9885901212692261,308.0,38075.0,211.0,232.0,4.656363010406494,3.1201958565213372e+19,0.991346001625061,327.0,38163.0,107.0,229.0,
1,9,4.938936948776245,5.008377789496266e+27,0.9907278418540955,264.0,38202.0,85.0,275.0,4.693949937820435,1.3864504371486097e+28,0.9921702146530151,274.0,38248.0,25.0,279.0,4.7860658168792725,9.072051089375127e+23,0.9817905426025391,370.0,37749.0,487.0,220.0,4.658803939819336,3.754670464889173e+23,0.9715139269828796,401.0,37319.0,931.0,175.0,4.661463737487793,1.186661175978414e+24,0.9905217885971069,353.0,38105.0,107.0,261.0,
1,10,4.680172681808472,3.047973970043103e+26,0.9908051490783691,313.0,38156.0,110.0,247.0,4.692531108856201,6.957830389626532e+22,0.9879462122917175,289.0,38069.0,235.0,233.0,4.67970085144043,1.4010434018202531e+26,0.990032434463501,329.0,38110.0,113.0,274.0,4.665210962295532,2.600770378748794e+20,0.9868902564048767,317.0,38000.0,277.0,232.0,4.675422191619873,6.749639759344802e+20,0.9904187917709351,299.0,38155.0,141.0,231.0,
