Node,Epoch,FL Round,Accuracy,Loss,Epoch Time,FL Round Time,Convergence Time,Confusion Matrix,Contributing Nodes,Miner Node,Model Weights Hash,Update Count,Training Time per Node
2,0,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,1,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,2,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,3,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,4,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,5,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,6,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,7,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,8,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,9,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,10,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,11,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,12,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,13,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,14,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,15,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,16,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,17,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,18,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,19,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,20,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
2,21,1,0.7893055081367493,0.5169613361358643,2754.2770879268646,2865.2945840358734,110171.08351707458,[382852      0 102462      0],"2, 0, 3, 1, 4",2,8c2b1d53638191d15e6f2f7b1b58238483e02e2dba262ec089feb0e8e08d730f,5,2754.2770879268646
