Node,Epoch,FL Round,Accuracy,Loss,Epoch Time,FL Round Time,Confusion Matrix,Contributing Nodes,Miner Node
2,1,1,0.7894332408905029,112518773080064.0,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,2,1,0.787918746471405,0.5225281119346619,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,3,1,0.7878610491752625,0.5229705572128296,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,4,1,0.787918746471405,0.5226165652275085,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,5,1,0.787918746471405,0.5220590829849243,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,6,1,0.787918746471405,0.5184542536735535,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,7,1,0.787918746471405,0.5184259414672852,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,8,1,0.787918746471405,0.5183636546134949,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,9,1,0.787918746471405,0.5183989405632019,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,10,1,0.787918746471405,0.5184066295623779,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,11,1,0.787918746471405,0.5183874368667603,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,12,1,0.787918746471405,0.5185089707374573,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,13,1,0.787918746471405,0.5185428857803345,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,14,1,0.787918746471405,0.5184008479118347,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,15,1,0.787918746471405,0.5184473395347595,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,16,1,0.787918746471405,0.5183778405189514,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,17,1,0.787918746471405,0.5184004306793213,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,18,1,0.787918746471405,0.5184103846549988,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,19,1,0.787918746471405,0.5185112953186035,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,20,1,0.787918746471405,0.5184603929519653,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,21,1,0.787918746471405,0.5183013677597046,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,22,1,0.787918746471405,0.5184613466262817,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,23,1,0.787918746471405,0.518451988697052,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,24,1,0.787918746471405,0.5185030698776245,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,25,1,0.787918746471405,0.5184528827667236,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,26,1,0.787918746471405,0.5184120535850525,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,27,1,0.787918746471405,0.5183950662612915,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,28,1,0.787918746471405,0.5184184312820435,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,29,1,0.787918746471405,0.5183739066123962,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,30,1,0.787918746471405,0.5184739828109741,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,31,1,0.787918746471405,0.5184093713760376,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,32,1,0.787918746471405,0.5184719562530518,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,33,1,0.787918746471405,0.5184134244918823,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,34,1,0.787918746471405,0.5182688236236572,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,35,1,0.787918746471405,0.5184420943260193,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,36,1,0.787918746471405,0.5182711482048035,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,37,1,0.787918746471405,0.5183722972869873,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,38,1,0.787918746471405,0.5184811949729919,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
2,39,1,0.787918746471405,0.5183818936347961,2119.5295400619507,2208.7831349372864,"382388, 0, 102926, 0","2, 3, 0, 4, 1",
