Node,Epoch,FL Round,Accuracy,Loss,Epoch Time,FL Round Time,Convergence Time,Confusion Matrix,Contributing Nodes,Miner Node
4,1,1,0.7886684536933899,206637891584.0,2266.494384288788,2347.4919481277466,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,2,1,0.7879843711853027,1053428613120.0,2266.494384288788,2347.492172241211,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,3,1,0.7884397506713867,0.5176234245300293,2266.494384288788,2347.492250919342,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,4,1,0.7884397506713867,0.517780601978302,2266.494384288788,2347.4923191070557,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,5,1,0.7884397506713867,0.517627477645874,2266.494384288788,2347.4923841953278,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,6,1,0.7884397506713867,0.5178599953651428,2266.494384288788,2347.492450237274,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,7,1,0.7884397506713867,0.5177990794181824,2266.494384288788,2347.492513179779,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,8,1,0.7884397506713867,0.5177234411239624,2266.494384288788,2347.4925751686096,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,9,1,0.7884397506713867,0.5176879167556763,2266.494384288788,2347.4926369190216,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,10,1,0.7884397506713867,0.5177200436592102,2266.494384288788,2347.4926981925964,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,11,1,0.7884397506713867,0.5177751183509827,2266.494384288788,2347.492760181427,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,12,1,0.7884397506713867,0.5177120566368103,2266.494384288788,2347.4928212165833,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,13,1,0.7884397506713867,0.5177728533744812,2266.494384288788,2347.4928851127625,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,14,1,0.7884397506713867,0.5177401304244995,2266.494384288788,2347.4929480552673,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,15,1,0.7884397506713867,0.5175740718841553,2266.494384288788,2347.4930090904236,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,16,1,0.7884397506713867,0.5177329778671265,2266.494384288788,2347.4930691719055,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,17,1,0.7884397506713867,0.5177063941955566,2266.494384288788,2347.493129014969,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,18,1,0.7884397506713867,0.5177619457244873,2266.494384288788,2347.4931919574738,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,19,1,0.7884397506713867,0.5178312063217163,2266.494384288788,2347.4932539463043,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,20,1,0.7884397506713867,0.5177879929542542,2266.494384288788,2347.493315219879,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,21,1,0.7884397506713867,0.5176941156387329,2266.494384288788,2347.4933791160583,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,22,1,0.7884397506713867,0.5177018046379089,2266.494384288788,2347.4934401512146,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,23,1,0.7884397506713867,0.5178146362304688,2266.494384288788,2347.493502140045,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,24,1,0.7884397506713867,0.5178052186965942,2266.494384288788,2347.493562221527,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,25,1,0.7884397506713867,0.5176485776901245,2266.494384288788,2347.4936232566833,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,26,1,0.7884397506713867,0.5178190469741821,2266.494384288788,2347.493684053421,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,27,1,0.7884397506713867,0.517824649810791,2266.494384288788,2347.4937450885773,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,28,1,0.7884397506713867,0.5177303552627563,2266.494384288788,2347.493805170059,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,29,1,0.7884397506713867,0.5176457166671753,2266.494384288788,2347.4938662052155,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,30,1,0.7884397506713867,0.5177510380744934,2266.494384288788,2347.493927001953,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,31,1,0.7884397506713867,0.5177478194236755,2266.494384288788,2347.493987083435,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,32,1,0.7884397506713867,0.5178614258766174,2266.494384288788,2347.4940481185913,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,33,1,0.7884397506713867,0.5177075266838074,2266.494384288788,2347.4941079616547,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,34,1,0.7884397506713867,0.5179044604301453,2266.494384288788,2347.4941692352295,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,35,1,0.7884397506713867,0.517811119556427,2266.494384288788,2347.49423122406,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,36,1,0.7884397506713867,0.5178318619728088,2266.494384288788,2347.4942920207977,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,37,1,0.7884397506713867,0.5178040266036987,2266.494384288788,2347.494353055954,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,38,1,0.7884397506713867,0.5176573395729065,2266.494384288788,2347.4944140911102,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,39,1,0.7884397506713867,0.517652690410614,2266.494384288788,2347.494474172592,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
4,40,1,0.7884397506713867,0.5178576707839966,2266.494384288788,2347.4945480823517,90659.77537155151,[382644      0 102674      0],"4, 2, 0, 3, 1",1
2,1,1,0.788023829460144,10783110987776.0,2278.1973140239716,2347.496259212494,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,2,1,0.787918746471405,0.5184223651885986,2278.1973140239716,2347.496402025223,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,3,1,0.787918746471405,0.5183567404747009,2278.1973140239716,2347.496494293213,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,4,1,0.787918746471405,0.5184848308563232,2278.1973140239716,2347.4965629577637,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,5,1,0.787918746471405,0.5184497237205505,2278.1973140239716,2347.4966311454773,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,6,1,0.787918746471405,0.5183727145195007,2278.1973140239716,2347.4966962337494,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,7,1,0.787918746471405,0.5185225009918213,2278.1973140239716,2347.4967591762543,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,8,1,0.787918746471405,0.518360435962677,2278.1973140239716,2347.4968242645264,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,9,1,0.787918746471405,0.5183907151222229,2278.1973140239716,2347.496900320053,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,10,1,0.787918746471405,0.5185359120368958,2278.1973140239716,2347.496975183487,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,11,1,0.787918746471405,0.5183721780776978,2278.1973140239716,2347.4970409870148,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,12,1,0.787918746471405,0.5183932185173035,2278.1973140239716,2347.4971041679382,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,13,1,0.787918746471405,0.5184386968612671,2278.1973140239716,2347.4971652030945,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,14,1,0.787918746471405,0.5183026790618896,2278.1973140239716,2347.497225999832,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,15,1,0.787918746471405,0.5184156894683838,2278.1973140239716,2347.497286081314,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,16,1,0.787918746471405,0.5185092687606812,2278.1973140239716,2347.4973492622375,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,17,1,0.787918746471405,0.5184182524681091,2278.1973140239716,2347.4974122047424,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,18,1,0.787918746471405,0.5185019969940186,2278.1973140239716,2347.4974732398987,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
2,19,1,0.787918746471405,0.5184428095817566,2278.1973140239716,2347.497546195984,91127.89256095886,[382388      0 102926      0],"4, 2, 0, 3, 1",1
