Node,FL Round,Epoch,Training Time,Loss,Accuracy,Aggregation Time,Round Time,Epsilon
1.0,1.0,30.0,386.4448368549347,0.07723292708396912,0.9851645827293396,,,
2.0,1.0,30.0,369.73198199272156,88.97809600830078,0.9852160811424255,,,
3.0,1.0,30.0,431.996132850647,0.07662741839885712,0.985499382019043,,,
4.0,1.0,30.0,407.48504400253296,12.335562705993652,0.9853191375732422,,,
5.0,1.0,30.0,359.50975728034973,0.07918795198202133,0.9847524762153625,,,
,,,,,,0.012636899948120117,1966.7407531738281,3.20233162812017
1.0,2.0,30.0,400.6139168739319,0.07221664488315582,0.9864524006843567,,,
2.0,2.0,30.0,449.0063910484314,0.0742165744304657,0.9863235950469971,,,
3.0,2.0,30.0,398.18987917900085,0.06693223118782043,0.985499382019043,,,
4.0,2.0,30.0,303.73160886764526,0.08243007212877274,0.9842631220817566,,,
5.0,2.0,30.0,268.906592130661,0.07724238187074661,0.9851645827293396,,,
,,,,,,0.0022580623626708984,1831.6338486671448,3.20233162812017
1.0,3.0,30.0,279.5172779560089,0.0807524174451828,0.9848039746284485,,,
2.0,3.0,30.0,311.4841411113739,0.07779865711927414,0.9852418303489685,,,
3.0,3.0,30.0,402.34984397888184,0.08326610177755356,0.9839283227920532,,,
4.0,3.0,30.0,307.06473898887634,0.0758679062128067,0.985499382019043,,,
5.0,3.0,30.0,366.54647183418274,0.35379087924957275,0.9853706359863281,,,
,,,,,,0.0029659271240234375,1678.2662918567657,3.20233162812017
1.0,4.0,30.0,305.4105908870697,0.076566681265831,0.9856024384498596,,,
2.0,4.0,30.0,324.13863015174866,0.07715407013893127,0.9853448867797852,,,
3.0,4.0,30.0,326.93186116218567,0.0754452720284462,0.9855766892433167,,,
4.0,4.0,30.0,323.5540940761566,0.07632633298635483,0.985447883605957,,,
5.0,4.0,30.0,260.99378299713135,0.07563896477222443,0.9855509400367737,,,
,,,,,,0.00180816650390625,1549.6857368946075,3.20233162812017
1.0,5.0,30.0,260.74847412109375,0.07665498554706573,0.9852933883666992,,,
2.0,5.0,30.0,276.1167359352112,0.07568587362766266,0.9855251908302307,,,
3.0,5.0,30.0,367.2725028991699,0.07659558206796646,0.9853191375732422,,,
4.0,5.0,30.0,465.2927498817444,4256933.5,0.9854221343994141,,,
5.0,5.0,30.0,434.140478849411,0.07622963190078735,0.985499382019043,,,
,,,,,,0.007035255432128906,1813.4101531505585,3.20233162812017
1.0,6.0,30.0,440.17112493515015,0.07796034216880798,0.9852160811424255,,,
2.0,6.0,30.0,442.56219601631165,0.07378717511892319,0.9860660433769226,,,
3.0,6.0,30.0,314.1233320236206,0.08001044392585754,0.9846237301826477,,,
4.0,6.0,30.0,339.47141885757446,0.0769387036561966,0.9855766892433167,,,
5.0,6.0,30.0,467.2562880516052,0.08358754217624664,0.9836965203285217,,,
,,,,,,0.01777815818786621,2018.1842150688171,3.20233162812017
1.0,7.0,30.0,449.2914209365845,0.07590026408433914,0.9854736328125,,,
2.0,7.0,30.0,325.5030481815338,0.07416311651468277,0.985885739326477,,,
3.0,7.0,30.0,435.42096185684204,0.07759984582662582,0.9850873351097107,,,
4.0,7.0,30.0,502.81014800071716,0.07836749404668808,0.9850615859031677,,,
5.0,7.0,30.0,436.34423184394836,0.06780797243118286,0.9856024384498596,,,
,,,,,,0.027833223342895508,2159.364207983017,3.20233162812017
1.0,8.0,30.0,260.11420607566833,0.08029218763113022,0.9850873351097107,,,
2.0,8.0,30.0,274.0094561576843,0.07492007315158844,0.9857054352760315,,,
3.0,8.0,30.0,284.9719398021698,0.07700345665216446,0.9853191375732422,,,
4.0,8.0,30.0,284.92197704315186,0.6972624063491821,0.9865553975105286,,,
5.0,8.0,30.0,289.955117225647,0.07501309365034103,0.9852160811424255,,,
,,,,,,0.0024509429931640625,1403.315561056137,3.20233162812017
1.0,9.0,30.0,292.39705872535706,0.06691008061170578,0.9856539368629456,,,
2.0,9.0,30.0,289.62541580200195,0.045517124235630035,0.9860402941703796,,,
3.0,9.0,30.0,293.6512382030487,0.07551859319210052,0.9855766892433167,,,
4.0,9.0,30.0,286.3052852153778,0.07567034661769867,0.9857311844825745,,,
5.0,9.0,30.0,266.6993041038513,0.07311680167913437,0.984984278678894,,,
,,,,,,0.010998010635375977,1436.9239528179169,3.20233162812017
1.0,10.0,30.0,200.57007908821106,0.07791418582201004,0.9850615859031677,,,
2.0,10.0,30.0,205.9573040008545,0.0708826556801796,0.9866842031478882,,,
3.0,10.0,30.0,203.9214038848877,0.06888505071401596,0.985447883605957,,,
4.0,10.0,30.0,203.66353297233582,0.07004466652870178,0.9846237301826477,,,
5.0,10.0,30.0,201.34454226493835,0.07671888917684555,0.9853448867797852,,,
,,,,,,0.0016968250274658203,1021.6343240737915,3.20233162812017
