Node,FL Round,Epoch,Training Time,Loss,Accuracy,TP,TN,FP,FN,Aggregation Time,Round Time
1.0,1.0,30.0,198.69459676742554,0.08267798274755478,0.9839540719985962,0.0,38203.0,0.0,623.0,,
2.0,1.0,30.0,199.4147629737854,0.0306241512298584,0.9862720966339111,0.0,38293.0,0.0,533.0,,
3.0,1.0,30.0,255.23668575286865,0.07655280828475952,0.9853191375732422,0.0,38256.0,0.0,570.0,,
4.0,1.0,30.0,284.14349389076233,4076635.5,0.9846752285957336,0.0,38231.0,0.0,595.0,,
5.0,1.0,30.0,210.1256320476532,0.07597974687814713,0.9854221343994141,0.0,38260.0,0.0,566.0,,
,,,,,,,,,,0.0073091983795166016,1154.1750078201294
1.0,2.0,30.0,213.90375089645386,0.06760731339454651,0.9854221343994141,0.0,38260.0,0.0,566.0,,
2.0,2.0,30.0,267.8797609806061,0.07534933090209961,0.9856024384498596,0.0,38267.0,0.0,559.0,,
3.0,2.0,30.0,209.10526704788208,0.08103196322917938,0.984546422958374,0.0,38226.0,0.0,600.0,,
4.0,2.0,30.0,319.8470547199249,0.07518111914396286,0.9856539368629456,0.0,38269.0,0.0,557.0,,
5.0,2.0,30.0,229.67214012145996,0.07649070769548416,0.9854221343994141,0.0,38260.0,0.0,566.0,,
,,,,,,,,,,0.0018939971923828125,1249.1246440410614
1.0,3.0,30.0,211.59613394737244,0.07065248489379883,0.9849327802658081,0.0,38241.0,0.0,585.0,,
2.0,3.0,30.0,252.98150086402893,0.07847810536623001,0.9849327802658081,0.0,38241.0,0.0,585.0,,
3.0,3.0,30.0,208.07086062431335,0.0792844146490097,0.9856024384498596,0.0,38267.0,0.0,559.0,,
4.0,3.0,30.0,268.46047806739807,0.07447758316993713,0.9858084917068481,0.0,38275.0,0.0,551.0,,
5.0,3.0,30.0,205.98215079307556,0.07773277163505554,0.98503577709198,0.0,38245.0,0.0,581.0,,
,,,,,,,,,,0.0021390914916992188,1153.8550379276276
1.0,4.0,30.0,207.3253140449524,0.0729861781001091,0.9861690402030945,0.0,38289.0,0.0,537.0,,
2.0,4.0,30.0,204.32017397880554,0.07413595914840698,0.9861432909965515,0.0,38288.0,0.0,538.0,,
3.0,4.0,30.0,203.84984397888184,0.0761338323354721,0.9854221343994141,0.0,38260.0,0.0,566.0,,
4.0,4.0,30.0,203.45564198493958,0.0768313780426979,0.9853963851928711,0.0,38259.0,0.0,567.0,,
5.0,4.0,30.0,204.55504822731018,0.06907307356595993,0.9861947894096375,0.0,38290.0,0.0,536.0,,
,,,,,,,,,,0.001708984375,1029.8424892425537
1.0,5.0,30.0,245.18407773971558,0.07258402556180954,0.9862720966339111,0.0,38293.0,0.0,533.0,,
2.0,5.0,30.0,347.20944690704346,0.07369551062583923,0.9860145449638367,0.0,38283.0,0.0,543.0,,
3.0,5.0,30.0,237.31721115112305,0.06817515194416046,0.9856024384498596,0.0,38267.0,0.0,559.0,,
4.0,5.0,30.0,254.95660996437073,0.0773148462176323,0.9851388335227966,0.0,38249.0,0.0,577.0,,
5.0,5.0,30.0,269.64349484443665,0.06612427532672882,0.9853963851928711,0.0,38259.0,0.0,567.0,,
,,,,,,,,,,0.007414102554321289,1362.7631440162659
1.0,6.0,30.0,220.98924088478088,0.07109616696834564,0.9848812818527222,0.0,38239.0,0.0,587.0,,
2.0,6.0,30.0,205.31785774230957,0.0756363570690155,0.9858599901199341,0.0,38277.0,0.0,549.0,,
3.0,6.0,30.0,259.68615221977234,0.07841421663761139,0.9848812818527222,0.0,38239.0,0.0,587.0,,
4.0,6.0,30.0,209.0548391342163,0.07187074422836304,0.9856796860694885,0.0,38270.0,0.0,556.0,,
5.0,6.0,30.0,282.76698112487793,0.07831913232803345,0.9852933883666992,0.0,38255.0,0.0,571.0,,
,,,,,,,,,,0.0019299983978271484,1184.6485471725464
1.0,7.0,30.0,238.8449239730835,0.07248447090387344,0.986400842666626,0.0,38298.0,0.0,528.0,,
2.0,7.0,30.0,203.6189420223236,0.07777169346809387,0.985962986946106,0.0,38281.0,0.0,545.0,,
3.0,7.0,30.0,245.9897050857544,0.08508516103029251,0.9835934638977051,0.0,38189.0,0.0,637.0,,
4.0,7.0,30.0,218.93397498130798,0.07595349848270416,0.9856281876564026,0.0,38268.0,0.0,558.0,,
5.0,7.0,30.0,216.28631615638733,0.07666230946779251,0.9852933883666992,0.0,38255.0,0.0,571.0,,
,,,,,,,,,,0.002087116241455078,1131.1892840862274
1.0,8.0,30.0,217.0163700580597,0.0762026384472847,0.9854736328125,0.0,38262.0,0.0,564.0,,
2.0,8.0,30.0,237.0851230621338,0.07483094185590744,0.9858599901199341,0.0,38277.0,0.0,549.0,,
3.0,8.0,30.0,272.85155987739563,0.07471500337123871,0.985885739326477,0.0,38278.0,0.0,548.0,,
4.0,8.0,30.0,229.94686698913574,0.06939506530761719,0.9870190024375916,0.0,38322.0,0.0,504.0,,
5.0,8.0,30.0,245.8466808795929,0.07915318012237549,0.9847009778022766,0.0,38232.0,0.0,594.0,,
,,,,,,,,,,0.004235982894897461,1212.0084722042084
1.0,9.0,30.0,264.90595984458923,0.07392176240682602,0.985962986946106,0.0,38281.0,0.0,545.0,,
2.0,9.0,30.0,280.30056715011597,0.07794449478387833,0.9850873351097107,0.0,38247.0,0.0,579.0,,
3.0,9.0,30.0,222.7777750492096,0.07761171460151672,0.9852160811424255,0.0,38252.0,0.0,574.0,,
4.0,9.0,30.0,315.8154811859131,0.07721225172281265,0.9851645827293396,0.0,38250.0,0.0,576.0,,
