FL round,Epoch,Client 1 Epoch Time (seconds),Client 1 Training Loss,Client 1 Training Accuracy,Client 1 True Positives,Client 1 True Negatives,Client 1 False Positives,Client 1 False Negatives,Client 2 Epoch Time (seconds),Client 2 Training Loss,Client 2 Training Accuracy,Client 2 True Positives,Client 2 True Negatives,Client 2 False Positives,Client 2 False Negatives,Client 3 Epoch Time (seconds),Client 3 Training Loss,Client 3 Training Accuracy,Client 3 True Positives,Client 3 True Negatives,Client 3 False Positives,Client 3 False Negatives,Client 4 Epoch Time (seconds),Client 4 Training Loss,Client 4 Training Accuracy,Client 4 True Positives,Client 4 True Negatives,Client 4 False Positives,Client 4 False Negatives,Client 5 Epoch Time (seconds),Client 5 Training Loss,Client 5 Training Accuracy,Client 5 True Positives,Client 5 True Negatives,Client 5 False Positives,Client 5 False Negatives,Server Aggregation Time (seconds),FL Round Time (seconds)
1,1,6.891268968582153,3.86654962181977e+25,0.990959644317627,324.0,38151.0,94.0,257.0,6.775734186172485,1.4869826497765039e+22,0.9901869893074036,324.0,38121.0,142.0,239.0,6.740029335021973,6.357279504613935e+24,0.9910627007484436,297.0,38182.0,117.0,230.0,7.2171361446380615,2.815703046417586e+27,0.9896976351737976,341.0,38085.0,136.0,264.0,7.641359806060791,1.707501420842939e+25,0.9888991713523865,325.0,38070.0,159.0,272.0,0.006428241729736328,
1,2,7.645925045013428,1.0528102866490623e+27,0.987740159034729,345.0,38005.0,262.0,214.0,8.396631002426147,3.306101104540928e+25,0.9907793998718262,297.0,38171.0,120.0,238.0,8.258188009262085,6.970041719872162e+24,0.9912430047988892,336.0,38150.0,100.0,240.0,8.688233375549316,6.602908001547758e+26,0.9912430047988892,338.0,38148.0,79.0,261.0,7.552949905395508,8.646484795828368e+27,0.991397500038147,304.0,38188.0,94.0,240.0,0.007003068923950195,
1,3,11.68129825592041,1.0177502492181668e+24,0.9884871244430542,321.0,38058.0,185.0,262.0,8.383845090866089,9.723312448113495e+27,0.986400842666626,327.0,37971.0,284.0,244.0,8.560524225234985,9.141693853292859e+22,0.9910369515419006,325.0,38153.0,85.0,263.0,8.193645000457764,1.001401896761571e+28,0.989105224609375,347.0,38056.0,171.0,252.0,8.84181022644043,6.231336711410553e+27,0.9912687540054321,285.0,38202.0,94.0,245.0,0.008275985717773438,
1,4,12.74767804145813,3.442414795613131e+26,0.9907793998718262,315.0,38153.0,103.0,255.0,15.888759136199951,5.447225796854517e+22,0.9877916574478149,293.0,38059.0,225.0,249.0,17.17841100692749,2.5939959797468103e+19,0.9877916574478149,314.0,38038.0,239.0,235.0,16.76378583908081,2.41518916571811e+18,0.9911399483680725,310.0,38172.0,104.0,240.0,14.100528240203857,8.788759367780549e+26,0.983644962310791,319.0,37872.0,418.0,217.0,0.012269258499145508,
1,5,15.713635921478271,3.346881729015264e+20,0.9897491335868835,348.0,38080.0,130.0,268.0,12.797093868255615,6.212776040245444e+27,0.9885386228561401,347.0,38034.0,199.0,246.0,13.266255140304565,1.1668655902983024e+28,0.9903415441513062,339.0,38112.0,142.0,233.0,11.685319900512695,2.795187283246767e+24,0.987250804901123,315.0,38016.0,275.0,220.0,11.723188161849976,1.511418505814672e+22,0.991809606552124,323.0,38185.0,100.0,218.0,0.008877754211425781,
1,6,12.725674867630005,3.0043695564016683e+27,0.989980936050415,336.0,38101.0,135.0,254.0,12.235313177108765,1.3417753793234073e+24,0.9905990958213806,301.0,38160.0,137.0,228.0,13.252192258834839,5.719531981552922e+25,0.9911914467811584,321.0,38163.0,92.0,250.0,12.962253093719482,1.0598516302229261e+27,0.9834131598472595,341.0,37841.0,434.0,210.0,13.37179970741272,9.208814502903022e+18,0.991783857345581,292.0,38215.0,88.0,231.0,0.009377002716064453,
1,7,14.298978090286255,9.403488928294237e+24,0.9894658327102661,320.0,38097.0,162.0,247.0,13.29929780960083,4.460418289804392e+26,0.980476975440979,345.0,37723.0,545.0,213.0,12.478287935256958,6.113160185718296e+19,0.9913202524185181,307.0,38182.0,80.0,257.0,11.788373231887817,2.830146883920789e+26,0.9901097416877747,284.0,38158.0,151.0,233.0,12.42090892791748,1.6321506790041587e+28,0.9905217885971069,294.0,38164.0,132.0,236.0,0.008910894393920898,
1,8,12.688159942626953,1.566651168117549e+26,0.9896203279495239,328.0,38095.0,182.0,221.0,13.751512050628662,3.6915098388756064e+20,0.984082818031311,342.0,37866.0,386.0,232.0,13.470645189285278,2.6664752417646092e+25,0.9890022277832031,304.0,38095.0,179.0,248.0,13.298568964004517,7.831328847584946e+23,0.9888219237327576,339.0,38053.0,195.0,239.0,14.478682041168213,3.6129184200213095e+26,0.9861947894096375,293.0,37997.0,263.0,273.0,0.010483026504516602,
1,9,15.708450078964233,2.61933101322758e+24,0.9911656975746155,331.0,38152.0,106.0,237.0,15.278777122497559,3.6655933822386936e+20,0.9919126629829407,306.0,38206.0,98.0,216.0,15.042390823364258,7.206343790880441e+23,0.9896203279495239,293.0,38130.0,164.0,239.0,14.678800106048584,4.258075806485919e+27,0.9875856637954712,303.0,38041.0,229.0,253.0,14.040081262588501,2.7324254416577532e+26,0.9920414090156555,280.0,38237.0,33.0,276.0,0.010452032089233398,
1,10,14.495040893554688,1.9232106676376154e+28,0.990470290184021,320.0,38136.0,135.0,235.0,13.97531008720398,1.255832584151946e+22,0.9913202524185181,333.0,38156.0,104.0,233.0,14.484506130218506,2.990766307511114e+28,0.9901612401008606,323.0,38121.0,99.0,283.0,15.948363065719604,2.12772516837107e+25,0.9907535910606384,329.0,38138.0,125.0,234.0,14.493271112442017,2.734298724371109e+23,0.9860917925834656,295.0,37991.0,305.0,235.0,0.010563850402832031,
1,11,15.851099729537964,4.012305555547262e+27,0.992273211479187,286.0,38240.0,79.0,221.0,14.757369995117188,8.670358105075354e+23,0.9905475974082947,312.0,38147.0,126.0,241.0,14.445315837860107,3.630790363549682e+26,0.9896203279495239,334.0,38089.0,168.0,235.0,15.101119995117188,2.0234856872640435e+23,0.9915263056755066,312.0,38185.0,91.0,238.0,15.100486040115356,1.730767607390206e+26,0.9885128736495972,334.0,38046.0,236.0,210.0,0.012167930603027344,
1,12,15.680349111557007,2.39296618457448e+28,0.9915520548820496,297.0,38201.0,96.0,232.0,14.706612825393677,1.8926218186741686e+24,0.9902642369270325,335.0,38113.0,127.0,251.0,13.569969892501831,3.821778433168929e+27,0.9885386228561401,303.0,38078.0,204.0,241.0,13.020803213119507,1.6581733572149212e+24,0.9905990958213806,337.0,38124.0,130.0,235.0,14.05187702178955,5.143124848205942e+21,0.9916808605194092,280.0,38223.0,63.0,260.0,0.010607004165649414,
1,13,15.036214113235474,2.853469014542915e+22,0.9917066097259521,283.0,38221.0,97.0,225.0,16.436309099197388,1.4994619797459736e+28,0.9910884499549866,296.0,38184.0,95.0,251.0,16.408260822296143,8.023813473880776e+25,0.9821254014968872,343.0,37789.0,461.0,233.0,16.22327494621277,4.091553178095452e+17,0.9908308982849121,313.0,38157.0,135.0,221.0,15.143887281417847,1.6643692899666515e+27,0.9884871244430542,340.0,38039.0,205.0,242.0,0.012476921081542969,
1,14,16.14012122154236,6.547447791703174e+27,0.9888991713523865,346.0,38049.0,197.0,234.0,14.04467511177063,4.574796588563665e+26,0.9907793998718262,313.0,38155.0,104.0,254.0,12.729873180389404,1.8424349431256163e+28,0.990496039390564,332.0,38125.0,134.0,235.0,10.790626764297485,7.169309670520812e+27,0.9892855286598206,329.0,38081.0,164.0,252.0,10.651662826538086,4.995860216349472e+25,0.9885128736495972,323.0,38057.0,232.0,214.0,0.01533198356628418,
1,15,10.858483076095581,9.172088317442432e+27,0.991783857345581,315.0,38192.0,67.0,252.0,10.042641878128052,7.164970301967699e+22,0.9901097416877747,313.0,38129.0,137.0,247.0,10.941421270370483,1.1576183703107091e+28,0.9910627007484436,354.0,38125.0,128.0,219.0,10.485508918762207,3.789129055157931e+19,0.991397500038147,300.0,38192.0,99.0,235.0,10.813454866409302,2.7922750911481646e+27,0.9890279769897461,307.0,38093.0,139.0,287.0,0.008416891098022461,
1,16,10.81339430809021,1.7513223531429388e+25,0.990882396697998,330.0,38142.0,119.0,235.0,10.746536254882812,1.9102965300760738e+28,0.9907793998718262,348.0,38120.0,101.0,257.0,10.099917650222778,9.041033426550915e+19,0.988203763961792,297.0,38071.0,208.0,250.0,9.858904123306274,1.9421710576107085e+27,0.9911399483680725,303.0,38179.0,92.0,252.0,9.582814931869507,1.0792870607494055e+28,0.9917066097259521,294.0,38210.0,49.0,273.0,0.007617950439453125,
1,17,9.633678197860718,1.1092186775857791e+26,0.9883583188056946,304.0,38070.0,205.0,247.0,11.026250839233398,1.9761832233633953e+28,0.9898521900177002,314.0,38118.0,159.0,235.0,12.669306755065918,8.149174318425494e+24,0.9862205982208252,296.0,37995.0,271.0,264.0,13.887324094772339,1.887932701063986e+28,0.9902127385139465,318.0,38128.0,120.0,260.0,18.49945592880249,2.675087441810837e+28,0.9910112023353577,336.0,38141.0,117.0,232.0,0.014262914657592773,
1,18,27.077959775924683,2.8423633419311776e+19,0.9907535910606384,346.0,38121.0,124.0,235.0,26.48725414276123,4.535577526769571e+28,0.9920414090156555,301.0,38216.0,82.0,227.0,25.70616579055786,7.505577581849752e+27,0.9915005564689636,324.0,38172.0,76.0,254.0,28.99449896812439,1.8702133711386838e+26,0.9856281876564026,332.0,37936.0,327.0,231.0,26.61383605003357,2.8949157266533364e+27,0.988152265548706,294.0,38072.0,245.0,215.0,0.0200498104095459,
1,19,23.07356071472168,4.958416332699126e+28,0.9912687540054321,319.0,38168.0,97.0,242.0,23.671144247055054,2.2475080882874535e+28,0.9914490580558777,310.0,38184.0,87.0,245.0,22.75099515914917,7.059012898355288e+27,0.988693118095398,318.0,38069.0,212.0,227.0,20.953022003173828,1.4706276025497266e+22,0.9914232492446899,340.0,38153.0,88.0,245.0,20.138705015182495,1.2276399492436871e+26,0.9879977107048035,307.0,38053.0,213.0,253.0,0.013154029846191406,
1,20,20.643908977508545,7.228085207297111e+19,0.9920671582221985,305.0,38213.0,69.0,239.0,19.00099015235901,3.1615657918687934e+25,0.9849070310592651,317.0,37923.0,358.0,228.0,17.986499071121216,9.996507095947794e+20,0.98591148853302,336.0,37943.0,334.0,213.0,22.22282600402832,8.368765374449856e+26,0.9869932532310486,324.0,37997.0,274.0,231.0,22.04624891281128,6.740166977573274e+27,0.9869675040245056,311.0,38009.0,264.0,242.0,0.013097047805786133,
1,21,22.66360592842102,2.1816598970443627e+26,0.9890537261962891,329.0,38072.0,191.0,234.0,23.772492170333862,1624400923197440.0,0.9702776670455933,520.0,37152.0,1124.0,30.0,20.782474040985107,2.767581600690915e+28,0.990933895111084,329.0,38145.0,107.0,245.0,20.3287091255188,2.050704321042786e+27,0.9878947138786316,315.0,38041.0,228.0,242.0,22.329004049301147,8.778353338087641e+27,0.9910112023353577,337.0,38140.0,103.0,246.0,0.012742996215820312,
1,22,19.76018500328064,4.524395435174784e+27,0.990496039390564,338.0,38119.0,114.0,255.0,19.65631103515625,4.059297716004454e+16,0.9874826073646545,330.0,38010.0,243.0,243.0,19.142616987228394,8.745194605856854e+20,0.99186110496521,328.0,38182.0,83.0,233.0,18.86913514137268,1.2995515741957598e+27,0.9905217885971069,330.0,38128.0,123.0,245.0,17.166966676712036,4.650496492218947e+26,0.990444540977478,316.0,38139.0,103.0,268.0,0.01343679428100586,
1,23,17.793195724487305,1.004883431936276e+26,0.9907020926475525,289.0,38176.0,104.0,257.0,16.436291217803955,7.51262651190537e+30,0.469273179769516,593.0,17627.0,20606.0,0.0,17.729897260665894,6.250260119351127e+26,0.9911399483680725,331.0,38151.0,103.0,241.0,18.719607830047607,2.6586265046805067e+20,0.9871478080749512,315.0,38012.0,261.0,238.0,24.587573051452637,4.5403870467394913e+24,0.990470290184021,328.0,38128.0,162.0,208.0,0.02085089683532715,
1,24,26.308105945587158,2.380733602555579e+28,0.9910884499549866,304.0,38176.0,101.0,245.0,19.860214948654175,3.6915850913898732e+28,0.9912430047988892,337.0,38149.0,92.0,248.0,14.568784236907959,3.715726978301559e+19,0.9910884499549866,335.0,38145.0,110.0,236.0,13.000927925109863,1.9989946466493163e+20,0.9869160056114197,303.0,38015.0,277.0,231.0,12.320687055587769,1.2556776019725249e+28,0.9883583188056946,315.0,38059.0,193.0,259.0,0.008964061737060547,
1,25,11.783697128295898,3.391525984097917e+27,0.9906505942344666,332.0,38131.0,111.0,252.0,12.514712810516357,1.0745636317340772e+28,0.9908051490783691,330.0,38139.0,130.0,227.0,12.404500961303711,2.0180235084607824e+28,0.9905733466148376,334.0,38126.0,106.0,260.0,15.259665250778198,8.338659030356258e+21,0.9913202524185181,317.0,38172.0,99.0,238.0,15.377778053283691,3.209337262277549e+28,0.990882396697998,318.0,38154.0,108.0,246.0,0.010168075561523438,
1,26,11.362242221832275,3.420628172913456e+20,0.9908566474914551,303.0,38168.0,130.0,225.0,9.871188879013062,2.7005966915632118e+26,0.989568829536438,303.0,38118.0,168.0,237.0,9.3906729221344,1.8685849185125906e+22,0.9892082810401917,332.0,38075.0,166.0,253.0,9.278838157653809,1.847985597932186e+25,0.991346001625061,286.0,38204.0,67.0,269.0,8.59286880493164,1.540108286420469e+25,0.990470290184021,313.0,38143.0,124.0,246.0,0.006853342056274414,
1,27,8.210153818130493,1.4662998657856451e+26,0.9911914467811584,305.0,38179.0,105.0,237.0,9.600794076919556,4.1469801205523263e+21,0.9903157949447632,323.0,38127.0,151.0,225.0,9.047418117523193,2.050135423455553e+27,0.987714409828186,329.0,38020.0,231.0,246.0,8.633250951766968,8.739390901459555e+22,0.9912171959877014,306.0,38179.0,117.0,224.0,8.647747278213501,7.030052985899089e+27,0.9896718859672546,373.0,38052.0,160.0,241.0,0.007158994674682617,
1,28,8.586365222930908,3.4206506481147862e+28,0.9903157949447632,316.0,38134.0,127.0,249.0,8.544841766357422,5.4027946340107676e+22,0.9905733466148376,330.0,38130.0,150.0,216.0,8.547336101531982,4.2058345903756856e+23,0.9899294376373291,334.0,38101.0,135.0,256.0,8.505804061889648,2.4209008122376662e+27,0.9885386228561401,362.0,38019.0,229.0,216.0,9.133677005767822,2.559546540695667e+27,0.988641619682312,325.0,38060.0,224.0,217.0,0.007007122039794922,
1,29,9.10439682006836,9.812494339142488e+27,0.9916550517082214,302.0,38200.0,87.0,237.0,8.838418960571289,1.7385912404867477e+26,0.9870705008506775,326.0,37998.0,240.0,262.0,8.610607862472534,1.0131943574862823e+19,0.99186110496521,334.0,38176.0,82.0,234.0,8.857452154159546,7.423037261168743e+24,0.9866068959236145,349.0,37957.0,305.0,215.0,9.71916913986206,1.4395886298787763e+28,0.9905475974082947,314.0,38145.0,102.0,265.0,0.00726008415222168,
1,30,10.07088828086853,5.73368760943256e+23,0.9908051490783691,333.0,38136.0,96.0,261.0,10.064849853515625,3.7418526755942654e+27,0.9897748827934265,332.0,38097.0,148.0,249.0,9.528514862060547,9.106959800093935e+27,0.9908308982849121,311.0,38159.0,85.0,271.0,10.222330093383789,4.0477835143414407e+27,0.9896976351737976,312.0,38114.0,155.0,245.0,9.508618116378784,1.959048470757789e+28,0.990496039390564,328.0,38129.0,131.0,238.0,0.007182121276855469,2457.829749107361
