FL_Round,Epoch,Node_ID,Accuracy,Loss,Validation_Accuracy,Validation_Loss,FP,TP,FN,TN,Gradient_Norm,Epoch_Time,Aggregation_Time,FL_Round_Time,Convergence_Time
7,2,0,0.7899503111839294,0.5135313868522644,0.7897241711616516,0.513735294342041,0,240,20410,76413,23.76765,7.871809005737305,1.0967254638671875e-05,0.0,86.45850396156311
7,3,0,0.7899503111839294,0.5135307312011719,0.7897241711616516,0.5137365460395813,0,240,20410,76413,9.193035,9.178036212921143,1.0013580322265625e-05,0.0,86.45850396156311
7,4,0,0.7899503111839294,0.5135284066200256,0.7897241711616516,0.5137349367141724,0,240,20410,76413,5.376484,8.946139812469482,1.0013580322265625e-05,0.0,86.45850396156311
7,5,0,0.7899503111839294,0.5135274529457092,0.7897241711616516,0.5137267112731934,0,240,20410,76413,35.748596,9.540604829788208,0.0,71.57459998130798,86.45850396156311
8,1,0,0.7899503111839294,0.5135308504104614,0.7897241711616516,0.5137361884117126,0,240,20410,76413,27.33377,11.917647123336792,1.0013580322265625e-05,0.0,86.45850396156311
8,2,0,0.7899503111839294,0.5135239958763123,0.7897241711616516,0.5137367844581604,0,240,20410,76413,7.2531433,9.150538206100464,1.621246337890625e-05,0.0,86.45850396156311
8,3,0,0.7899503111839294,0.5135287642478943,0.7897241711616516,0.5137331485748291,0,240,20410,76413,40.768066,9.495285034179688,1.0251998901367188e-05,0.0,86.45850396156311
8,4,0,0.7899503111839294,0.5135253071784973,0.7897241711616516,0.5137321352958679,0,240,20410,76413,18.70857,10.728613138198853,1.71661376953125e-05,0.0,86.45850396156311
8,5,0,0.7899503111839294,0.5135270953178406,0.7897241711616516,0.5137354135513306,0,240,20410,76413,24.846539,10.141180038452148,0.0,78.74765801429749,86.45850396156311
9,1,0,0.7899503111839294,0.513529896736145,0.7897241711616516,0.5137333869934082,0,240,20410,76413,1.4064617,8.799808025360107,1.1205673217773438e-05,0.0,86.45850396156311
9,2,0,0.7899503111839294,0.5135278105735779,0.7897241711616516,0.5137380361557007,0,240,20410,76413,0.009105682,10.642972946166992,1.0013580322265625e-05,0.0,86.45850396156311
9,3,0,0.7899503111839294,0.5135257840156555,0.7897241711616516,0.5137360095977783,0,240,20410,76413,38.963337,10.129278182983398,9.059906005859375e-06,0.0,86.45850396156311
9,4,0,0.7899503111839294,0.5135294198989868,0.7897241711616516,0.5137364864349365,0,240,20410,76413,54.111485,9.9008150100708,1.0013580322265625e-05,0.0,86.45850396156311
9,5,0,0.7899503111839294,0.513527512550354,0.7897241711616516,0.5137367844581604,0,240,20410,76413,11.009199,7.77532696723938,0.0,74.42957091331482,86.45850396156311
10,1,0,0.7899503111839294,0.5135269165039062,0.7897241711616516,0.5137266516685486,0,240,20410,76413,35.50359,8.249957799911499,1.5020370483398438e-05,0.0,86.45850396156311
10,2,0,0.7899503111839294,0.5135303139686584,0.7897241711616516,0.5137346982955933,0,240,20410,76413,31.125505,7.572186708450317,9.059906005859375e-06,0.0,86.45850396156311
10,3,0,0.7899503111839294,0.5135228633880615,0.7897241711616516,0.51373690366745,0,240,20410,76413,77.15768,7.464745044708252,1.0013580322265625e-05,0.0,86.45850396156311
10,4,0,0.7899503111839294,0.5135246515274048,0.7897241711616516,0.5137333273887634,0,240,20410,76413,17.231224,8.437264919281006,1.0967254638671875e-05,0.0,86.45850396156311
10,5,0,0.7899503111839294,0.5135276317596436,0.7897241711616516,0.5137318968772888,0,240,20410,76413,21.280613,8.083834886550903,0.0,63.41653490066528,86.45850396156311
11,1,0,0.7899503111839294,0.5135294198989868,0.7897241711616516,0.5137389302253723,0,240,20410,76413,10.349899,7.691521883010864,8.821487426757812e-06,0.0,86.45850396156311
11,2,0,0.7899503111839294,0.5135250091552734,0.7897241711616516,0.5137336850166321,0,240,20410,76413,7.1762466,7.634913921356201,8.344650268554688e-06,0.0,86.45850396156311
11,3,0,0.7899503111839294,0.5135151743888855,0.7897241711616516,0.513735830783844,0,240,20410,76413,38.4865,7.294783115386963,1.1205673217773438e-05,0.0,86.45850396156311
11,4,0,0.7899503111839294,0.5135241746902466,0.7897241711616516,0.5137338042259216,0,240,20410,76413,52.843414,7.596158027648926,8.821487426757812e-06,0.0,86.45850396156311
11,5,0,0.7899503111839294,0.5135233998298645,0.7897241711616516,0.5137342214584351,0,240,20410,76413,25.184065,7.523108959197998,0.0,62.19545078277588,86.45850396156311
12,1,0,0.7899503111839294,0.5135263800621033,0.7897241711616516,0.513734757900238,0,240,20410,76413,34.887344,7.635676145553589,8.821487426757812e-06,0.0,86.45850396156311
12,2,0,0.7899503111839294,0.5135248899459839,0.7897241711616516,0.5137355923652649,0,240,20410,76413,4.9289074,7.640830039978027,9.059906005859375e-06,0.0,86.45850396156311
12,3,0,0.7899503111839294,0.5135251879692078,0.7897241711616516,0.513733983039856,0,240,20410,76413,7.5801754,8.14794111251831,8.821487426757812e-06,0.0,86.45850396156311
12,4,0,0.7899503111839294,0.5135251879692078,0.7897241711616516,0.5137352347373962,0,240,20410,76413,1.5931778,8.36373496055603,8.821487426757812e-06,0.0,86.45850396156311
12,5,0,0.7899503111839294,0.513528048992157,0.7897241711616516,0.5137321352958679,0,240,20410,76413,2.3420582,7.629157781600952,0.0,63.6727180480957,86.45850396156311
13,1,0,0.7899503111839294,0.5135302543640137,0.7897241711616516,0.5137330889701843,0,240,20410,76413,8.149673,8.877436876296997,1.6927719116210938e-05,0.0,86.45850396156311
13,2,0,0.7899503111839294,0.5135271549224854,0.7897241711616516,0.5137329697608948,0,240,20410,76413,14.161154,10.643763065338135,5.91278076171875e-05,0.0,86.45850396156311
