FL round,Epoch,Client 1 Epoch Time (seconds),Client 1 Training Loss,Client 1 Training Accuracy,Client 1 True Positives,Client 1 True Negatives,Client 1 False Positives,Client 1 False Negatives,Client 2 Epoch Time (seconds),Client 2 Training Loss,Client 2 Training Accuracy,Client 2 True Positives,Client 2 True Negatives,Client 2 False Positives,Client 2 False Negatives,Client 3 Epoch Time (seconds),Client 3 Training Loss,Client 3 Training Accuracy,Client 3 True Positives,Client 3 True Negatives,Client 3 False Positives,Client 3 False Negatives,Client 4 Epoch Time (seconds),Client 4 Training Loss,Client 4 Training Accuracy,Client 4 True Positives,Client 4 True Negatives,Client 4 False Positives,Client 4 False Negatives,Client 5 Epoch Time (seconds),Client 5 Training Loss,Client 5 Training Accuracy,Client 5 True Positives,Client 5 True Negatives,Client 5 False Positives,Client 5 False Negatives,Server Aggregation Time (seconds),FL Round Time (seconds)
1,1,10.262969017028809,1.6145377867921618e+28,0.989517331123352,317.0,38102.0,153.0,254.0,8.98799180984497,4.144782692787014e+26,0.9891825318336487,305.0,38101.0,166.0,254.0,8.725582122802734,6.033545556363898e+26,0.9908308982849121,312.0,38158.0,115.0,241.0,8.781309843063354,2.3280084324252226e+26,0.9916293025016785,297.0,38204.0,47.0,278.0,8.287688255310059,4.1359037987437853e+21,0.9910884499549866,329.0,38151.0,86.0,260.0,6.580352783203125e-05,
1,2,8.373407125473022,6.544496755373238e+26,0.9831041097640991,331.0,37839.0,436.0,220.0,8.505659103393555,1.5377198942315255e+25,0.9890537261962891,341.0,38060.0,180.0,245.0,8.952977180480957,6.41551896962758e+21,0.9901354908943176,293.0,38150.0,126.0,257.0,8.936439990997314,3.2518496581846108e+28,0.9903157949447632,281.0,38169.0,111.0,265.0,9.170355796813965,4.317323428433058e+21,0.9898779392242432,290.0,38143.0,166.0,227.0,5.2928924560546875e-05,
1,3,8.84163522720337,2.15236685401686e+17,0.9890022277832031,311.0,38088.0,210.0,217.0,8.95815396308899,4.5225979844322417e+27,0.9862720966339111,323.0,37970.0,292.0,241.0,8.837143898010254,1.8058678885613256e+28,0.990933895111084,326.0,38148.0,83.0,269.0,8.855134963989258,1.0433997908403238e+28,0.9897748827934265,284.0,38145.0,119.0,278.0,8.811885118484497,1.0632334349204711e+25,0.9887189269065857,339.0,38049.0,203.0,235.0,4.601478576660156e-05,
1,4,8.97138500213623,3.6587657140973674e+21,0.9897748827934265,308.0,38121.0,117.0,280.0,9.275660037994385,4.787289294233908e+23,0.9891567230224609,308.0,38097.0,185.0,236.0,9.234669923782349,3.470963345676485e+26,0.9842116236686707,307.0,37906.0,385.0,228.0,9.138627052307129,8.643195995002757e+23,0.9915778040885925,350.0,38149.0,96.0,231.0,9.263207912445068,1.0116025662314044e+26,0.9903930425643921,331.0,38122.0,150.0,223.0,4.6253204345703125e-05,
1,5,9.600370168685913,5.581256262521192e+18,0.9874826073646545,315.0,38025.0,252.0,234.0,9.384979963302612,1.1715734355042372e+28,0.9910369515419006,342.0,38136.0,111.0,237.0,9.924698114395142,2.9099237024838013e+27,0.9911399483680725,351.0,38131.0,131.0,213.0,9.935302019119263,2.0974479278037083e+26,0.9878689646720886,299.0,38056.0,222.0,249.0,9.682340145111084,1.0804808794206112e+22,0.9855509400367737,354.0,37911.0,350.0,211.0,4.792213439941406e-05,
1,6,9.976087093353271,2.0732348987061753e+24,0.9908308982849121,328.0,38142.0,96.0,260.0,9.975322961807251,9.137754385813812e+20,0.9852675795555115,334.0,37920.0,339.0,233.0,9.898192167282104,3.5874611753298274e+26,0.9802967309951782,318.0,37743.0,528.0,237.0,9.856297016143799,1.3881399227874374e+27,0.9828465580940247,342.0,37818.0,413.0,253.0,10.05770993232727,6.102790759800348e+25,0.9866068959236145,349.0,37957.0,284.0,236.0,4.696846008300781e-05,
1,7,10.353435039520264,1.5107856833056657e+27,0.991835355758667,299.0,38210.0,98.0,219.0,10.09463620185852,1.0333676518619771e+24,0.9912430047988892,329.0,38157.0,109.0,231.0,9.72537088394165,3.5370546207342816e+28,0.9905733466148376,307.0,38153.0,103.0,263.0,9.642390012741089,9.592616540803349e+20,0.9920929074287415,316.0,38203.0,87.0,220.0,9.711589813232422,4.942339980481493e+28,0.991397500038147,280.0,38212.0,56.0,278.0,4.6253204345703125e-05,
1,8,9.671808958053589,3.29347637425781e+27,0.9900839924812317,300.0,38141.0,124.0,261.0,10.178636074066162,7.96750271233707e+24,0.9848297238349915,339.0,37898.0,355.0,234.0,10.192831993103027,1.8960038747086016e+27,0.9901097416877747,309.0,38133.0,143.0,241.0,10.051671981811523,4.431541572163966e+25,0.9905217885971069,314.0,38144.0,106.0,262.0,10.081792116165161,3.5139039274069856e+28,0.9917066097259521,311.0,38193.0,60.0,262.0,4.887580871582031e-05,
1,9,10.336846828460693,3.2587773698149805e+28,0.9911399483680725,342.0,38140.0,96.0,248.0,10.830173015594482,3.927948678575069e+21,0.990496039390564,320.0,38137.0,107.0,262.0,10.740775108337402,2.4838744547304485e+27,0.9902127385139465,350.0,38096.0,157.0,223.0,10.607861995697021,7.423398702060437e+24,0.9903157949447632,329.0,38121.0,127.0,249.0,10.901169061660767,2.2764192994946226e+24,0.9903157949447632,316.0,38134.0,116.0,260.0,4.7206878662109375e-05,
1,10,10.21529769897461,6.543357720808155e+23,0.9912687540054321,315.0,38172.0,91.0,248.0,10.238117218017578,4.8196015767251775e+25,0.9920156598091125,333.0,38183.0,65.0,245.0,10.276305913925171,2.188586741677761e+25,0.9829753041267395,324.0,37841.0,428.0,233.0,10.652727127075195,4.9718474374674985e+22,0.9902384877204895,306.0,38141.0,159.0,220.0,10.760246992111206,6.832237186002352e+27,0.9892340302467346,313.0,38095.0,144.0,274.0,5.2928924560546875e-05,
1,11,10.84093689918518,2.13637922776895e+26,0.9902642369270325,323.0,38125.0,117.0,261.0,10.731728076934814,1.6336515872676696e+26,0.990032434463501,301.0,38138.0,177.0,210.0,11.200984954833984,4.5331725251322635e+25,0.9912171959877014,301.0,38184.0,86.0,255.0,11.170200824737549,2.980761245464459e+20,0.9900839924812317,320.0,38121.0,161.0,224.0,11.552487850189209,8.267971626961344e+26,0.9905733466148376,302.0,38158.0,111.0,255.0,5.984306335449219e-05,
1,12,11.305167198181152,3.401034449645732e+17,0.986400842666626,382.0,37916.0,280.0,248.0,11.109417915344238,2.350948102379013e+27,0.9869160056114197,351.0,37967.0,262.0,246.0,11.004217147827148,1.7353787400063112e+26,0.989130973815918,328.0,38076.0,190.0,232.0,10.880269050598145,1.7211004066909378e+27,0.9885386228561401,323.0,38058.0,188.0,257.0,10.703701972961426,1.2820246290537512e+28,0.9907278418540955,307.0,38159.0,99.0,261.0,5.078315734863281e-05,
1,13,11.554616928100586,3.993328283113992e+26,0.989079475402832,336.0,38066.0,158.0,266.0,11.111508131027222,3.1807317283770767e+25,0.9905475974082947,279.0,38180.0,99.0,268.0,11.150309085845947,1.49586200171692e+28,0.9904187917709351,332.0,38122.0,119.0,253.0,11.03809905052185,1.8543238549237269e+28,0.9900839924812317,345.0,38096.0,146.0,239.0,11.282190084457397,2.8333036014471465e+27,0.9898779392242432,337.0,38096.0,159.0,234.0,5.459785461425781e-05,
