FL_Round,Epoch,Node_ID,Accuracy,Loss,FP,TP,FN,TN,Epoch_Time,Aggregator_Node,Gradient_Diminishment,Model_Complexity,Staleness,Validation_Accuracy,Validation_Loss,FL_Round_Time,Convergence_Time
1,1,0,0.7872515916824341,4062229504.0,0,0,20650,76413,7.434139013290405,1,346336400000000.0,131,0.0,0.787160336971283,0.520369291305542,3913.565335035324,3913.565335035324
1,1,1,0.7885394096374512,114225192.0,0,0,20525,76538,11.006357908248901,1,334386050000000.0,131,0.0,0.787160336971283,0.520369291305542,3913.565335035324,3913.565335035324
1,1,2,0.7862728238105774,1.0699641082053919e+18,0,0,20745,76318,11.34264087677002,1,317412700000000.0,131,0.0,0.787160336971283,0.520369291305542,3913.565335035324,3913.565335035324
1,1,3,0.788992702960968,66950365184.0,0,0,20481,76582,10.356483697891235,1,309094770000000.0,131,0.0,0.787160336971283,0.520369291305542,3913.565335035324,3913.565335035324
1,1,4,0.787789523601532,8229594112.0,0,0,20598,76466,13.045384883880615,1,336516600000000.0,131,0.0,0.787160336971283,0.520369291305542,3913.565335035324,3913.565335035324
1,2,0,0.7872515916824341,4711093792407552.0,0,0,20650,76413,11.036963939666748,1,346336400000000.0,131,0.0,0.787160336971283,0.520369291305542,3913.565335035324,3913.565335035324
1,2,1,0.7885394096374512,,0,0,20525,76538,10.935707807540894,1,334386050000000.0,131,0.0,0.787160336971283,0.520369291305542,3913.565335035324,3913.565335035324
1,2,2,0.7862728238105774,18783703924736.0,0,0,20745,76318,12.525714874267578,1,317412700000000.0,131,0.0,0.787160336971283,0.520369291305542,3913.565335035324,3913.565335035324
1,2,3,0.788992702960968,3224920754487296.0,0,0,20481,76582,12.235530138015747,1,309094770000000.0,131,0.0,0.787160336971283,0.520369291305542,3913.565335035324,3913.565335035324
1,2,4,0.787789523601532,1620380699590656.0,0,0,20598,76466,14.105195045471191,1,336516600000000.0,131,0.0,0.787160336971283,0.520369291305542,3913.565335035324,3913.565335035324
1,3,0,0.7872515916824341,21438779392.0,0,0,20650,76413,17.17152214050293,1,346336400000000.0,131,0.0,0.787160336971283,0.520369291305542,3913.565335035324,3913.565335035324
1,3,1,0.7885394096374512,3.0632106117131055e+26,0,0,20525,76538,16.69522786140442,1,334386050000000.0,131,0.0,0.787160336971283,0.520369291305542,3913.565335035324,3913.565335035324
1,3,2,0.7862728238105774,9904582205374464.0,0,0,20745,76318,15.75701379776001,1,317412700000000.0,131,0.0,0.787160336971283,0.520369291305542,3913.565335035324,3913.565335035324
