FL_Round,Epoch,Node_ID,Accuracy,Loss,Val_Accuracy,Val_Loss,FP,TP,FN,TN,Gradient_Norm,Epoch_Time,Server_Node,CPU_Usage,Memory_Usage,FL_Round_Time,Convergence_Time,Model_Size,Model_Complexity
1,1,0,0.7878357172012329,61.466243743896484,0.7872515916824341,0.6184070110321045,0,0,20650,76413,20737.914,8.321907997131348,4,6.8,59.4,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,1,1,0.7890591621398926,49.7458610534668,0.7885394096374512,0.617267370223999,0,0,20525,76538,20775.428,8.367362022399902,4,5.3,61.1,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,1,2,0.7883302569389343,32.541099548339844,0.7862728238105774,0.6182709336280823,0,0,20745,76318,20739.668,8.341945171356201,4,9.9,62.6,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,1,3,0.7888273596763611,40.108009338378906,0.788992702960968,0.6172053813934326,0,0,20481,76582,20760.047,8.30757188796997,4,5.0,63.6,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,1,4,0.7886022925376892,32.68849182128906,0.787789523601532,0.618112325668335,0,0,20598,76466,20796.977,8.83443570137024,4,4.7,64.4,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,2,0,0.7878357172012329,32.335758209228516,0.7872515916824341,0.6182818412780762,0,0,20650,76413,20724.521,9.397047996520996,4,4.4,58.2,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,2,1,0.7890874743461609,27.195907592773438,0.7885394096374512,0.6175498366355896,0,0,20525,76538,20806.633,8.386521100997925,4,5.2,59.2,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,2,2,0.7883302569389343,40.005802154541016,0.7862728238105774,0.618249773979187,0,0,20745,76318,20736.605,9.288469076156616,4,4.5,61.4,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,2,3,0.7888144254684448,45.41447067260742,0.788992702960968,0.6179102659225464,0,0,20481,76582,20839.186,8.338568925857544,4,4.9,61.8,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,2,4,0.7886022925376892,28.24310874938965,0.787789523601532,0.6175722479820251,0,0,20598,76466,20737.326,9.673580169677734,4,4.6,61.1,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,3,0,0.7878228425979614,42.28185272216797,0.7872515916824341,0.6179477572441101,0,0,20650,76413,20686.828,8.616200923919678,4,6.7,62.8,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,3,1,0.7890565395355225,47.60982131958008,0.7885394096374512,0.6173244714736938,0,0,20525,76538,20781.723,9.247461080551147,4,4.3,63.1,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,3,2,0.7882915735244751,49.97662353515625,0.7862728238105774,0.6186822652816772,0,0,20745,76318,20783.727,8.654843091964722,4,4.5,63.5,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,3,3,0.7888453602790833,37.512908935546875,0.788992702960968,0.6176243424415588,0,0,20481,76582,20806.695,9.252748012542725,4,6.6,63.8,3327.799691915512,3327.799691915512,0.000499725341796875,131
