FL round,Epoch,Client 1 Epoch Time (seconds),Client 1 Training Loss,Client 1 Training Accuracy,Client 1 True Positives,Client 1 True Negatives,Client 1 False Positives,Client 1 False Negatives,Client 2 Epoch Time (seconds),Client 2 Training Loss,Client 2 Training Accuracy,Client 2 True Positives,Client 2 True Negatives,Client 2 False Positives,Client 2 False Negatives,Client 3 Epoch Time (seconds),Client 3 Training Loss,Client 3 Training Accuracy,Client 3 True Positives,Client 3 True Negatives,Client 3 False Positives,Client 3 False Negatives,Client 4 Epoch Time (seconds),Client 4 Training Loss,Client 4 Training Accuracy,Client 4 True Positives,Client 4 True Negatives,Client 4 False Positives,Client 4 False Negatives,Client 5 Epoch Time (seconds),Client 5 Training Loss,Client 5 Training Accuracy,Client 5 True Positives,Client 5 True Negatives,Client 5 False Positives,Client 5 False Negatives,Server Aggregation Time (seconds),FL Round Time (seconds)
1,1,8.542200803756714,5.212551665566377e+27,0.9871478080749512,326.0,38001.0,265.0,234.0,8.672697067260742,2.004665059011199e+18,0.9910884499549866,352.0,38128.0,109.0,237.0,8.452534914016724,4.258840387134286e+25,0.9861947894096375,321.0,37969.0,313.0,223.0,8.453435182571411,1.2624765700866554e+27,0.9873538613319397,293.0,38042.0,237.0,254.0,8.430300951004028,5.443849043826659e+27,0.9900839924812317,339.0,38102.0,108.0,277.0,0.008363008499145508,
1,2,8.452244997024536,6.884246378965627e+27,0.9902384877204895,305.0,38142.0,120.0,259.0,8.676878690719604,1.448377249051302e+27,0.9839283227920532,353.0,37849.0,371.0,253.0,8.477055072784424,7.443063484645334e+27,0.9905733466148376,270.0,38190.0,125.0,241.0,8.404480934143066,8.10768535608361e+17,0.986838698387146,310.0,38005.0,272.0,239.0,9.102049827575684,8.42866972891274e+23,0.9885643720626831,329.0,38053.0,189.0,255.0,0.008164167404174805,
1,3,8.43502402305603,2.4743547541967937e+26,0.9906248450279236,288.0,38174.0,133.0,231.0,7.215494871139526,3.389172788296666e+25,0.9908308982849121,315.0,38155.0,107.0,249.0,7.02603816986084,2.278289482290283e+24,0.9898521900177002,307.0,38125.0,125.0,269.0,7.387631177902222,4.439398562882516e+21,0.9905475974082947,333.0,38126.0,107.0,260.0,7.098904132843018,3.3947342418272166e+27,0.9914232492446899,276.0,38217.0,69.0,264.0,0.0077359676361083984,
1,4,6.635717153549194,3.120476315080648e+26,0.9907278418540955,313.0,38153.0,105.0,255.0,7.185582876205444,2.1339661058749013e+28,0.9888476729393005,316.0,38077.0,162.0,271.0,7.375524044036865,1.1362166087538163e+24,0.9831041097640991,307.0,37863.0,445.0,211.0,7.1911821365356445,9.633768115456942e+27,0.9914490580558777,295.0,38199.0,62.0,270.0,8.681742191314697,3.967373714202283e+27,0.990470290184021,335.0,38121.0,143.0,227.0,0.008433103561401367,
1,5,8.727503061294556,1.589374775047353e+28,0.9912430047988892,326.0,38160.0,103.0,237.0,8.639312028884888,6.257152560806828e+26,0.9848039746284485,332.0,37904.0,337.0,253.0,8.823323726654053,1.255273124488236e+22,0.9906505942344666,314.0,38149.0,135.0,228.0,8.3990797996521,1.8901386365072965e+28,0.9899036884307861,315.0,38119.0,166.0,226.0,7.954118967056274,7.104990836109942e+25,0.9889764785766602,302.0,38096.0,183.0,245.0,0.007838964462280273,
1,6,8.039812088012695,4.023601456174286e+27,0.987328052520752,317.0,38017.0,242.0,250.0,8.231981992721558,4.519912083154877e+25,0.9910627007484436,315.0,38164.0,86.0,261.0,8.77450680732727,4.809507518368044e+25,0.9916550517082214,331.0,38171.0,86.0,238.0,8.138978004455566,5.811431354685134e+25,0.9789831638336182,340.0,37670.0,589.0,227.0,7.969509124755859,3.908490600314358e+26,0.9905733466148376,299.0,38161.0,110.0,256.0,0.007745027542114258,
1,7,8.742039918899536,8.507806351060946e+20,0.9901869893074036,304.0,38141.0,119.0,262.0,7.232086896896362,6.251892287266769e+26,0.990882396697998,279.0,38193.0,70.0,284.0,6.222461223602295,1.9685652769972986e+25,0.9906763434410095,305.0,38159.0,116.0,246.0,6.500995874404907,8.077058155975132e+26,0.9916550517082214,316.0,38186.0,71.0,253.0,8.348583936691284,2.4867013813662563e+27,0.9844434261322021,331.0,37891.0,328.0,276.0,0.008945941925048828,
1,8,7.613787889480591,1.9120583908955794e+22,0.9911399483680725,346.0,38136.0,124.0,220.0,7.046724081039429,7.887554847780786e+22,0.9915520548820496,321.0,38177.0,85.0,243.0,6.8125,3.820193155723801e+23,0.989517331123352,306.0,38113.0,166.0,241.0,6.60564923286438,2.2562959769689138e+25,0.9784680604934692,332.0,37658.0,587.0,249.0,6.656662225723267,3.385315777025038e+27,0.9860917925834656,312.0,37974.0,294.0,246.0,0.007356166839599609,
1,9,6.519406795501709,1.0034368548392624e+23,0.9908566474914551,305.0,38166.0,104.0,251.0,6.593472003936768,3.636358542471987e+16,0.9891567230224609,332.0,38073.0,190.0,231.0,6.7185728549957275,5.94951827592491e+27,0.9896461367607117,308.0,38116.0,90.0,312.0,6.883767127990723,7.575582338818507e+19,0.985447883605957,348.0,37913.0,337.0,228.0,6.963306903839111,2.9104633288351844e+23,0.9903672933578491,337.0,38115.0,139.0,235.0,0.00728607177734375,
1,10,7.0778648853302,1.1798744928454967e+20,0.9848039746284485,357.0,37879.0,362.0,228.0,7.366492033004761,3.8752489034107464e+27,0.9874568581581116,309.0,38030.0,271.0,216.0,7.37806510925293,2.9208397016399995e+25,0.98591148853302,359.0,37920.0,322.0,225.0,7.3745458126068115,2.9054513628818763e+23,0.9897233843803406,305.0,38122.0,137.0,262.0,7.43123197555542,8.455011134118125e+27,0.9919641613960266,297.0,38217.0,39.0,273.0,0.007630109786987305,
