FL round,Epoch,Client 1 Epoch Time (seconds),Client 1 Training Loss,Client 1 Training Accuracy,Client 2 Epoch Time (seconds),Client 2 Training Loss,Client 2 Training Accuracy,Client 3 Epoch Time (seconds),Client 3 Training Loss,Client 3 Training Accuracy,Client 4 Epoch Time (seconds),Client 4 Training Loss,Client 4 Training Accuracy,Client 5 Epoch Time (seconds),Client 5 Training Loss,Client 5 Training Accuracy,Server Aggregation Time (seconds),FL Round Time (seconds)
1,1,4.40814208984375,1.1485254536479436e+28,0.991835355758667,4.193116188049316,3.172898641324197e+26,0.9902384877204895,4.4180006980896,1.1366259330426486e+21,0.9867099523544312,4.462231874465942,1.282287428748523e+28,0.989594578742981,4.065397262573242,2.960705375309435e+27,0.989980936050415,0.002933025360107422,
1,2,4.379143953323364,7.67077894792836e+27,0.9863235950469971,4.926386833190918,3.175524846631896e+24,0.989568829536438,5.11650013923645,3.822184556686456e+27,0.9849070310592651,6.223753929138184,7.655788633432208e+20,0.9902384877204895,4.652328014373779,1.5041173052268561e+25,0.989079475402832,0.004591703414916992,
1,3,4.642668008804321,2.7230997004953846e+18,0.989594578742981,5.355276107788086,4.418399558283533e+28,0.9923762679100037,5.147634983062744,522615512891392.0,0.9913202524185181,4.812652111053467,8.78406208886962e+27,0.9907535910606384,4.535017251968384,2.8110859194849034e+18,0.9921444654464722,0.0016279220581054688,
1,4,5.140878915786743,5.044459892993917e+24,0.9863235950469971,5.237636089324951,2.844955155299912e+27,0.986812949180603,5.793161869049072,3.3077237262665117e+25,0.9818678498268127,5.733029127120972,5.110900956135176e+27,0.9857311844825745,5.712939977645874,3.5343887858251206e+26,0.9914748072624207,0.0019059181213378906,
1,5,5.5568788051605225,1.7604175904061087e+28,0.9911399483680725,5.351114988327026,6.483255922773e+22,0.9903672933578491,5.1209893226623535,1.7388693020952288e+25,0.9902127385139465,4.8034141063690186,2.4329410758815528e+26,0.9892855286598206,4.684821128845215,1.114434102479309e+25,0.9889249205589294,0.0016469955444335938,
1,6,4.756839036941528,2.68034851225024e+27,0.9842888712882996,4.779944896697998,4.402747864871872e+27,0.991397500038147,5.04993200302124,643019149672448.0,0.9913202524185181,5.292927980422974,2.8951609945625404e+27,0.9847267270088196,5.165969371795654,4.783569551526001e+25,0.9881265163421631,0.0017390251159667969,
1,7,5.31014084815979,9.060811211509855e+26,0.9856281876564026,5.268416881561279,1.109853079561218e+27,0.9878689646720886,5.222074270248413,3.7728269725033126e+27,0.9901869893074036,5.1694958209991455,1.3674927035066632e+27,0.9898263812065125,5.4499499797821045,1.7562349516740685e+24,0.9901612401008606,0.0018939971923828125,
1,8,5.645107984542847,5.160789654794349e+21,0.9912687540054321,5.5887768268585205,3.130491790308028e+26,0.9911141991615295,5.518656015396118,3.246575483178218e+28,0.9898779392242432,5.474250078201294,2.8615889902595453e+26,0.9812239408493042,5.512414932250977,4.0910290876317355e+21,0.9903672933578491,0.0019230842590332031,
1,9,5.767085075378418,1.45501172662619e+25,0.990882396697998,5.711730003356934,6.011684005791035e+21,0.9844691753387451,5.895787000656128,1.3552977794781589e+23,0.9913202524185181,6.121463060379028,1.2017955184621443e+28,0.9896461367607117,6.010041952133179,1.0721776154857703e+26,0.987765908241272,0.001953125,
1,10,5.521945238113403,1.4085497970355872e+25,0.9903415441513062,5.52304220199585,7.718160954996499e+23,0.990470290184021,6.245929956436157,4.672070642519142e+23,0.9878432154655457,6.516282796859741,3.230368919083517e+25,0.9894143342971802,5.823330879211426,1.9042345462811761e+28,0.9903930425643921,0.001825094223022461,
1,11,5.477556943893433,2826337857306624.0,0.9852160811424255,5.495418071746826,1.9368323933785817e+19,0.9911399483680725,5.067462921142578,5.490007815013469e+27,0.991397500038147,4.783367156982422,873023104090112.0,0.9810951352119446,4.983400106430054,1.5983665629697576e+25,0.9905990958213806,0.0016248226165771484,
1,12,4.890949964523315,3.0935664815270816e+25,0.9905733466148376,4.745406150817871,2.751276685935511e+27,0.9893627762794495,4.7826879024505615,3.274191475986714e+19,0.9901097416877747,4.7747251987457275,4.06540466128316e+20,0.9828980565071106,4.656151056289673,1.1537249467803699e+23,0.9897233843803406,0.001641988754272461,
